File_name,Total_energy,Adsorption_energy,Rigid_adsorption_energy,Deformation_energy,dEad/dNi
op_00 (3 1 1).std.csv,-1.2768,-1.5029,-1.2768,-0.2261,-1.5029
op_01 (3 1 1).std.csv,-1.2314,-1.4575,-1.2314,-0.22609,-1.4575
op_02 (3 1 1).std.csv,-1.2135,-1.4396,-1.2135,-0.22611,-1.4396
op_03 (3 1 1).std.csv,-1.1048,-1.3309,-1.1048,-0.22611,-1.3309
op_04 (3 1 1).std.csv,-1.1717,-1.3978,-1.1717,-0.22612,-1.3978
op_05 (3 1 1).std.csv,-1.2458,-1.472,-1.2459,-0.22612,-1.472
op_06 (3 1 1).std.csv,-1.2757,-1.5019,-1.2758,-0.22602,-1.5019
op_07 (3 1 1).std.csv,-0.96184,-1.188,-0.96187,-0.22609,-1.188
op_08 (3 1 1).std.csv,-1.1255,-1.3516,-1.1255,-0.22607,-1.3516
op_09 (3 1 1).std.csv,-1.206,-1.4322,-1.206,-0.22612,-1.4322
op_10 (3 1 1).std.csv,-1.1907,-1.4168,-1.1907,-0.22611,-1.4168
op_11 (3 1 1).std.csv,-1.1751,-1.4012,-1.1751,-0.22609,-1.4012
op_12 (3 1 1).std.csv,-1.1968,-1.423,-1.1969,-0.22608,-1.423
op_13 (3 1 1).std.csv,-1.2002,-1.4263,-1.2002,-0.22611,-1.4263
op_14 (3 1 1).std.csv,-1.2105,-1.4366,-1.2105,-0.2261,-1.4366
op_15 (3 1 1).std.csv,-1.0572,-1.2834,-1.0573,-0.22607,-1.2834
op_16 (3 1 1).std.csv,-1.153,-1.3792,-1.1531,-0.22605,-1.3792
op_17 (3 1 1).std.csv,-1.2708,-1.4969,-1.2708,-0.2261,-1.4969
op_18 (3 1 1).std.csv,-1.1296,-1.3557,-1.1296,-0.22611,-1.3557
op_19 (3 1 1).std.csv,-1.1925,-1.4186,-1.1925,-0.22609,-1.4186
op_20 (3 1 1).std.csv,-1.2554,-1.4816,-1.2555,-0.2261,-1.4816
op_21 (3 1 1).std.csv,-1.2475,-1.4736,-1.2475,-0.22609,-1.4736
op_22 (3 1 1).std.csv,-1.1329,-1.359,-1.1329,-0.22609,-1.359
op_23 (3 1 1).std.csv,-1.264,-1.4901,-1.2641,-0.22609,-1.4901
op_24 (3 1 1).std.csv,-1.2275,-1.4536,-1.2275,-0.22612,-1.4536
op_25 (3 1 1).std.csv,-1.2062,-1.4323,-1.2062,-0.22611,-1.4323
op_26 (3 1 1).std.csv,-1.2568,-1.483,-1.2569,-0.22609,-1.483
op_27 (3 1 1).std.csv,-1.1913,-1.4174,-1.1913,-0.22608,-1.4174
op_28 (3 1 1).std.csv,-1.2299,-1.456,-1.2299,-0.22611,-1.456
op_29 (3 1 1).std.csv,-1.199,-1.4251,-1.199,-0.22612,-1.4251
op_30 (3 1 1).std.csv,-1.2274,-1.4536,-1.2274,-0.22611,-1.4536
op_31 (3 1 1).std.csv,-1.2361,-1.4622,-1.2361,-0.22612,-1.4622
op_32 (3 1 1).std.csv,-1.2215,-1.4476,-1.2216,-0.22597,-1.4476
op_33 (3 1 1).std.csv,-1.1678,-1.3939,-1.1678,-0.22612,-1.3939
op_34 (3 1 1).std.csv,-1.2485,-1.4746,-1.2485,-0.22607,-1.4746
op_35 (3 1 1).std.csv,-1.2052,-1.4314,-1.2053,-0.22609,-1.4314
