File_name,Total_energy,Adsorption_energy,Rigid_adsorption_energy,Deformation_energy,dEad/dNi
op_000 (3 1 1).std.csv,-1.1649,-1.391,-1.1649,-0.22609,-1.391
op_001 (3 1 1).std.csv,-1.2493,-1.4755,-1.2494,-0.22611,-1.4755
op_002 (3 1 1).std.csv,-1.2451,-1.4712,-1.2451,-0.2261,-1.4712
op_003 (3 1 1).std.csv,-1.2485,-1.4747,-1.2487,-0.226,-1.4747
op_004 (3 1 1).std.csv,-1.1884,-1.4146,-1.1885,-0.22607,-1.4146
op_005 (3 1 1).std.csv,-1.2266,-1.4527,-1.2266,-0.22607,-1.4527
op_006 (3 1 1).std.csv,-1.1254,-1.3516,-1.1255,-0.22611,-1.3516
op_007 (3 1 1).std.csv,-1.2495,-1.4756,-1.2495,-0.22612,-1.4756
op_008 (3 1 1).std.csv,-1.1463,-1.3724,-1.1463,-0.2261,-1.3724
op_009 (3 1 1).std.csv,-1.2301,-1.4562,-1.2301,-0.2261,-1.4562
op_010 (3 1 1).std.csv,-1.2065,-1.4326,-1.2066,-0.22603,-1.4326
op_011 (3 1 1).std.csv,-1.14,-1.3661,-1.14,-0.22611,-1.3661
op_012 (3 1 1).std.csv,-1.2452,-1.4714,-1.2453,-0.22611,-1.4714
op_013 (3 1 1).std.csv,-1.2409,-1.467,-1.2409,-0.22609,-1.467
op_014 (3 1 1).std.csv,-1.2272,-1.4534,-1.2273,-0.22607,-1.4534
op_015 (3 1 1).std.csv,-1.1644,-1.3906,-1.1644,-0.22612,-1.3906
op_016 (3 1 1).std.csv,-1.2203,-1.4464,-1.2203,-0.22612,-1.4464
op_017 (3 1 1).std.csv,-1.1482,-1.3743,-1.1482,-0.22612,-1.3743
op_018 (3 1 1).std.csv,-1.1738,-1.4,-1.1738,-0.22612,-1.4
op_019 (3 1 1).std.csv,-1.2294,-1.4555,-1.2294,-0.22611,-1.4555
op_020 (3 1 1).std.csv,-1.2376,-1.4638,-1.2377,-0.22611,-1.4638
op_021 (3 1 1).std.csv,-1.2673,-1.4934,-1.2674,-0.22607,-1.4934
op_022 (3 1 1).std.csv,-1.1858,-1.412,-1.1858,-0.22612,-1.412
op_023 (3 1 1).std.csv,-1.2341,-1.4602,-1.2341,-0.22612,-1.4602
op_024 (3 1 1).std.csv,-1.2428,-1.4689,-1.2429,-0.22606,-1.4689
op_025 (3 1 1).std.csv,-1.1648,-1.3909,-1.1648,-0.22611,-1.3909
op_026 (3 1 1).std.csv,-1.1541,-1.3802,-1.1541,-0.22609,-1.3802
op_027 (3 1 1).std.csv,-1.2187,-1.4449,-1.2188,-0.22608,-1.4449
op_028 (3 1 1).std.csv,-1.2483,-1.4745,-1.2484,-0.22609,-1.4745
op_029 (3 1 1).std.csv,-1.2228,-1.449,-1.2229,-0.22608,-1.449
op_030 (3 1 1).std.csv,-1.2195,-1.4456,-1.2195,-0.2261,-1.4456
op_031 (3 1 1).std.csv,-1.1917,-1.4178,-1.1917,-0.22612,-1.4178
op_032 (3 1 1).std.csv,-1.2217,-1.4478,-1.2218,-0.22595,-1.4478
op_033 (3 1 1).std.csv,-1.2095,-1.4356,-1.2095,-0.22608,-1.4356
op_034 (3 1 1).std.csv,-1.2268,-1.453,-1.2269,-0.22609,-1.453
op_035 (3 1 1).std.csv,-1.1191,-1.3452,-1.1191,-0.22611,-1.3452
op_036 (3 1 1).std.csv,-1.2182,-1.4443,-1.2182,-0.22611,-1.4443
op_037 (3 1 1).std.csv,-1.2152,-1.4414,-1.2153,-0.22605,-1.4414
op_038 (3 1 1).std.csv,-1.1375,-1.3636,-1.1375,-0.2261,-1.3636
op_039 (3 1 1).std.csv,-1.2256,-1.4517,-1.2256,-0.22612,-1.4517
op_040 (3 1 1).std.csv,-1.1698,-1.3959,-1.1698,-0.22609,-1.3959
op_041 (3 1 1).std.csv,-1.1535,-1.3797,-1.1536,-0.22602,-1.3797
op_042 (3 1 1).std.csv,-1.1558,-1.3819,-1.1558,-0.22611,-1.3819
op_043 (3 1 1).std.csv,-1.2586,-1.4847,-1.2586,-0.2261,-1.4847
op_044 (3 1 1).std.csv,-1.1928,-1.4189,-1.1928,-0.22611,-1.4189
op_045 (3 1 1).std.csv,-1.2318,-1.458,-1.232,-0.226,-1.458
op_046 (3 1 1).std.csv,-1.1258,-1.3519,-1.1258,-0.22612,-1.3519
op_047 (3 1 1).std.csv,-1.0686,-1.2947,-1.0686,-0.22609,-1.2947
op_048 (3 1 1).std.csv,-1.222,-1.4481,-1.222,-0.2261,-1.4481
op_049 (3 1 1).std.csv,-1.2483,-1.4744,-1.2483,-0.2261,-1.4744
op_050 (3 1 1).std.csv,-1.1942,-1.4203,-1.1942,-0.22611,-1.4203
op_051 (3 1 1).std.csv,-1.2328,-1.4589,-1.2328,-0.22608,-1.4589
op_052 (3 1 1).std.csv,-1.2071,-1.4332,-1.2071,-0.2261,-1.4332
op_053 (3 1 1).std.csv,-1.1988,-1.4249,-1.1988,-0.22609,-1.4249
op_054 (3 1 1).std.csv,-1.2058,-1.4319,-1.2058,-0.22609,-1.4319
op_055 (3 1 1).std.csv,-1.1658,-1.392,-1.1659,-0.22611,-1.392
op_056 (3 1 1).std.csv,-1.1481,-1.3742,-1.1481,-0.22612,-1.3742
op_057 (3 1 1).std.csv,-1.2313,-1.4574,-1.2315,-0.22589,-1.4574
op_058 (3 1 1).std.csv,-1.1962,-1.4224,-1.1963,-0.22609,-1.4224
op_059 (3 1 1).std.csv,-1.2267,-1.4528,-1.2267,-0.22612,-1.4528
op_060 (3 1 1).std.csv,-1.2423,-1.4684,-1.2423,-0.22607,-1.4684
op_061 (3 1 1).std.csv,-1.1329,-1.3591,-1.1329,-0.22611,-1.3591
op_062 (3 1 1).std.csv,-1.2529,-1.479,-1.2529,-0.22609,-1.479
op_063 (3 1 1).std.csv,-1.1686,-1.3947,-1.1686,-0.22612,-1.3947
op_064 (3 1 1).std.csv,-1.2393,-1.4654,-1.2393,-0.22611,-1.4654
op_065 (3 1 1).std.csv,-1.127,-1.3532,-1.127,-0.22611,-1.3532
op_066 (3 1 1).std.csv,-1.2486,-1.4747,-1.2487,-0.22608,-1.4747
op_067 (3 1 1).std.csv,-1.1335,-1.3596,-1.1335,-0.22611,-1.3596
op_068 (3 1 1).std.csv,-1.2046,-1.4307,-1.2046,-0.22609,-1.4307
op_069 (3 1 1).std.csv,-1.1804,-1.4065,-1.1804,-0.22611,-1.4065
op_070 (3 1 1).std.csv,-1.1596,-1.3857,-1.1596,-0.2261,-1.3857
op_071 (3 1 1).std.csv,-1.2582,-1.4843,-1.2582,-0.22611,-1.4843
op_072 (3 1 1).std.csv,-1.2313,-1.4574,-1.2314,-0.22595,-1.4574
op_073 (3 1 1).std.csv,-1.2454,-1.4715,-1.2455,-0.22609,-1.4715
op_074 (3 1 1).std.csv,-1.2152,-1.4413,-1.2152,-0.2261,-1.4413
op_075 (3 1 1).std.csv,-1.2476,-1.4737,-1.2476,-0.22609,-1.4737
op_076 (3 1 1).std.csv,-1.1884,-1.4146,-1.1885,-0.22608,-1.4146
op_077 (3 1 1).std.csv,-1.2418,-1.468,-1.2418,-0.22611,-1.468
op_078 (3 1 1).std.csv,-1.2426,-1.4687,-1.2426,-0.2261,-1.4687
