X_s,Y_s,X_p,Y_p,X_d,Y_d,X_f,Y_f,X_sum,Y_sum
-22.1952414140475,0,-22.1952414140475,0,-22.1952414140475,0,-22.1952414140475,0,-22.1952414140475,0
-22.1842636500341,0,-22.1842636500341,0,-22.1842636500341,0,-22.1842636500341,0,-22.1842636500341,0
-21.1084427767244,0.000125006286039694,-20.855954204417,0.000118630967225883,-20.855954204417,0.000101833895288554,22.8904353888392,0,-21.1084427767244,0.000126294436449011
-21.0974650127111,0.000160279407041163,-20.8449764404037,0.000143155705921953,-20.8449764404037,0.000122553762378954,,,-21.0974650127111,0.00016193103585381
-21.0864872486977,0.000204887360173713,-20.8339986763903,0.000173709846413237,-20.8339986763903,0.000147689219562496,,,-21.0864872486977,0.000206998659894976
-21.0755094846843,0.000261122425956021,-20.823020912377,0.000209977180659951,-20.823020912377,0.000177388989598024,,,-21.0755094846843,0.00026381321032002
-21.064531720671,0.000331791107460257,-20.8120431483636,0.000251607009285803,-20.8120431483636,0.000211827828962475,,,-21.064531720671,0.000335210110331418
-21.0535539566576,0.000420316924181097,-20.8010653843502,0.000300702172075175,-20.8010653843502,0.00025226425364443,,,-21.0535539566576,0.000424648157714065
-21.0425761926442,0.000530860702942859,-20.7900876203369,0.000360193377260507,-20.7900876203369,0.000300175598653103,,,-21.0425761926442,0.000536331055302334
-21.0315984286309,0.000668460644616919,-20.7791098563235,0.000430173739988172,-20.7791098563235,0.000356129550651781,,,-21.0315984286309,0.000675348921040894
-21.0206206646175,0.000839194587560835,-20.7681320923101,0.000510504806345495,-20.7681320923101,0.000420809079106043,,,-21.0206206646175,0.00084784222349748
-21.0096429006041,0.00105036700313798,-20.7571543282968,0.000604314495686205,-20.7571543282968,0.000495914661875849,,,-21.0096429006041,0.00106119070431247
-20.9986651365908,0.00131072333463392,-20.7461765642834,0.000713575856228198,-20.7461765642834,0.00058287992705852,,,-20.9986651365908,0.00132422992581025
-20.9876873725774,0.00163069431602256,-20.73519880027,0.00084050062551392,-20.73519880027,0.000683293414179358,,,-20.9876873725774,0.00164749810739342
-20.9767096085641,0.00202267286754612,-20.7242210362567,0.000987560152197224,-20.7242210362567,0.000798908728977365,,,-20.9767096085641,0.00204351587444433
-20.9657318445507,0.00262277303209401,-20.7132432722433,0.00115943406041074,-20.7132432722433,0.000932357619822599,,,-20.9657318445507,0.00265137147308091
-20.9547540805373,0.00323966008768754,-20.7022655082299,0.00135768307060018,-20.7022655082299,0.00108519069217443,,,-20.9547540805373,0.00327505881252799
-20.943776316524,0.00398988365298832,-20.6912877442166,0.00158409746408049,-20.6912877442166,0.00125916151820085,,,-20.943776316524,0.0040335740108179
-20.9327985525106,0.00489941428675221,-20.6803099802032,0.00184608604543838,-20.6803099802032,0.00145799433506819,,,-20.9327985525106,0.00495318406390362
-20.9218207884972,0.00599863413179935,-20.6693322161899,0.00214403693631747,-20.6693322161899,0.00168324011869309,,,-20.9218207884972,0.00606461947664157
-20.9108430244839,0.00744525086698769,-20.6583544521765,0.0024862377444078,-20.6583544521765,0.00193903381472935,,,-20.9108430244839,0.00752843032475432
-20.8998652604705,0.00907027164381975,-20.6473766881631,0.00287439024922713,-20.6473766881631,0.00222749806406231,,,-20.8998652604705,0.00917191752864624
-20.8888874964571,0.0110181437935197,-20.6363989241498,0.00331556842090118,-20.6363989241498,0.00255255528839804,,,-20.8888874964571,0.0111420108251408
-20.8779097324438,0.013345840717542,-20.6254211601364,0.00381582336689728,-20.6254211601364,0.00291787572869528,,,-20.8779097324438,0.0134963686520107
-20.8669319684304,0.0161188868173891,-20.614443396123,0.00438576909375096,-20.614443396123,0.00332899356485057,,,-20.8669319684304,0.016301308814059
-20.855954204417,0.019412348668821,-20.6034656321097,0.00502558025546021,-20.6034656321097,0.00378724713851427,,,-20.855954204417,0.0196328135313354
-20.8449764404037,0.0233118878911581,-20.5924878680963,0.00574614321406728,-20.5924878680963,0.00429829389650537,,,-20.8449764404037,0.023577597359459
-20.8339986763903,0.027974561963114,-20.5815101040829,0.00655580126759936,-20.5815101040829,0.00486675180047323,,,-20.8339986763903,0.0282959610290897
-20.823020912377,0.0334678802979571,-20.5705323400696,0.00746351691322912,-20.5705323400696,0.00549745812733198,,,-20.823020912377,0.033855246468215
-20.8120431483636,0.0398606583601631,-20.5595545760562,0.00847888894116525,-20.5595545760562,0.00619545855890648,,,-20.8120431483636,0.0403240931984114
-20.8010653843502,0.047340951061618,-20.5485768120428,0.00961216646558268,-20.5485768120428,0.00696599348240761,,,-20.8010653843502,0.0478939174873376
-20.7900876203369,0.0561265333759918,-20.5375990480295,0.010876234192033,-20.5375990480295,0.00781556405727828,,,-20.7900876203369,0.0567869023519053
-20.7791098563235,0.0663517610926417,-20.5266212840161,0.0122815031865933,-20.5266212840161,0.00874882597176788,,,-20.7791098563235,0.0671380643832816
-20.7681320923101,0.0781577039791035,-20.5156435200028,0.0138379600648342,-20.5156435200028,0.00977073858980577,,,-20.7681320923101,0.0790890178645551
-20.7571543282968,0.0918096325906421,-20.5046657559894,0.0155624412999252,-20.5046657559894,0.0108887961728311,,,-20.7571543282968,0.0929098617482041
-20.7461765642834,0.107548965857088,-20.493687991976,0.0174649505629564,-20.493687991976,0.0121073887939798,,,-20.7461765642834,0.108845421640374
-20.73519880027,0.125640696043573,-20.4827102279627,0.0195663273507261,-20.4827102279627,0.0134346845501731,,,-20.73519880027,0.127164490083266
-20.7242210362567,0.146374447332476,-20.4717324639493,0.0218757122419531,-20.4717324639493,0.014874932182605,,,-20.7242210362567,0.14816091621365
-20.7132432722433,0.170124175634535,-20.4607546999359,0.0244083172801805,-20.4607546999359,0.0164341686879045,,,-20.7132432722433,0.172215967314768
-20.7022655082299,0.197189348622966,-20.4497769359226,0.0271823941756639,-20.4497769359226,0.0181189637698164,,,-20.7022655082299,0.199632222385741
-20.6912877442166,0.227883468652025,-20.4387991719092,0.0302173925010835,-20.4387991719092,0.0199362543640081,,,-20.6912877442166,0.230726727634306
-20.6803099802032,0.262708416561505,-20.4278214078958,0.0335290130635721,-20.4278214078958,0.0218913561692237,,,-20.6803099802032,0.266012496942012
-20.6693322161899,0.301988172761527,-20.4168436438825,0.0371327137559481,-20.4168436438825,0.0239888781968064,,,-20.6693322161899,0.305815449816537
-20.6583544521765,0.346280394870861,-20.4058658798691,0.041048973479384,-20.4058658798691,0.0262352424206869,,,-20.6583544521765,0.350705666429998
-20.6473766881631,0.395963552737778,-20.3948881158557,0.0452992435818097,-20.3948881158557,0.0286366386898265,,,-20.6473766881631,0.401065441051067
-20.6363989241498,0.451590309462745,-20.3839103518424,0.0498981473003522,-20.3839103518424,0.0311967281966631,,,-20.6363989241498,0.457458433172044
-20.6254211601364,0.513692329806057,-20.372932587829,0.0548696414815247,-20.372932587829,0.0339219938373318,,,-20.6254211601364,0.520426028901649
-20.614443396123,0.582941767928803,-20.3619548238157,0.0602289417352905,-20.3619548238157,0.036815166659471,,,-20.614443396123,0.590656530587404
-20.6034656321097,0.659713271890001,-20.3509770598023,0.06600287450291,-20.3509770598023,0.0398830259034916,,,-20.6034656321097,0.668526099283975
-20.5924878680963,0.744694455829181,-20.3399992957889,0.0722073037566649,-20.3399992957889,0.0431280041926256,,,-20.5924878680963,0.754738892939753
-20.5815101040829,0.838497837814335,-20.3290215317756,0.0788567324435921,-20.3290215317756,0.0465516480510939,,,-20.5815101040829,0.849920390882407
-20.5705323400696,0.941748692672963,-20.3180437677622,0.0859771561765089,-20.3180437677622,0.0501594977966246,,,-20.5705323400696,0.954709667713523
-20.5595545760562,1.0550813182239,-20.3070660037488,0.0935855214033225,-20.3070660037488,0.05395330387733,,,-20.5595545760562,1.06975566572397
-20.5485768120428,1.17913490194612,-20.2960882397355,0.101700730394409,-20.2960882397355,0.0579348497609355,,,-20.5485768120428,1.19571306189411
-20.5375990480295,1.31460747928932,-20.2851104757221,0.110338388797533,-20.2851104757221,0.0621047235597639,,,-20.5375990480295,1.33329927753863
-20.5266212840161,1.46209210196392,-20.2741327117087,0.119520000855933,-20.2741327117087,0.0664662151669239,,,-20.5266212840161,1.48312243112228
-20.5156435200028,1.62216027475668,-20.2631549476954,0.129258110229475,-20.2631549476954,0.0710174533466979,,,-20.5156435200028,1.64576897341131
-20.5046657559894,1.79552827301792,-20.252177183682,0.139574556025312,-20.252177183682,0.0757622278211064,,,-20.5046657559894,1.82197951049067
-20.493687991976,1.98268775904441,-20.2411994196686,0.150478376582081,-20.2411994196686,0.0806969785549708,,,-20.493687991976,2.01226009840134
-20.4827102279627,2.1843684929567,-20.2302216556553,0.161982635770748,-20.2302216556553,0.0858204290636306,,,-20.4827102279627,2.2173695048576
-20.4717324639493,2.40096338827683,-20.2192438916419,0.174105831325161,-20.2192438916419,0.0911348340521931,,,-20.4717324639493,2.43771403270139
-20.4607546999359,2.63296323776812,-20.2082661276286,0.186853237347377,-20.2082661276286,0.0966355300845009,,,-20.4607546999359,2.67380572373621
-20.4497769359226,2.88087216612846,-20.1972883636152,0.200236112153404,-20.1972883636152,0.102321638445064,,,-20.4497769359226,2.92617352407394
-20.4387991719092,3.14515916460982,-20.1863105996018,0.214294970528599,-20.1863105996018,0.108221065459284,,,-20.4387991719092,3.1953128114749
-20.4278214078958,3.42614033175713,-20.1753328355885,0.229034117167453,-20.1753328355885,0.114329260770799,,,-20.4278214078958,3.48156070098993
-20.4168436438825,3.72406261160444,-20.1643550715751,0.244429460228632,-20.1643550715751,0.120615762185317,,,-20.4168436438825,3.7851842035572
-20.4058658798691,4.03921078805834,-20.1533773075617,0.260482133227535,-20.1533773075617,0.127075945069748,,,-20.4058658798691,4.10649500395841
-20.3948881158557,4.37181672410951,-20.1423995435484,0.277195861297959,-20.1423995435484,0.133708110751026,,,-20.3948881158557,4.44575260638114
