X_s,Y_s,X_p,Y_p,X_d,Y_d,X_f,Y_f,X_sum,Y_sum
-22.2202201034651,0,-22.2202201034651,0,-22.2202201034651,0,-22.2202201034651,0,-22.2202201034651,0
-22.209242722686,0,-22.209242722686,0,-22.209242722686,0,-22.209242722686,0,-22.209242722686,0
-21.1334594063315,0.000124327838246916,-20.9139117907489,0.000106856009006981,-20.9029344099698,0.000117923468295411,22.8748601371928,0,-21.1334594063315,0.000126009567343753
-21.1224820255523,0.000159406754769994,-20.9029344099698,0.000130638476977677,-20.8919570291906,0.000143027624941471,,,-21.1224820255523,0.000161562981255623
-21.1115046447732,0.000203768343506919,-20.8919570291906,0.000159278809154399,-20.8809796484115,0.000173574091000741,,,-21.1115046447732,0.000206524630088603
-21.1005272639941,0.000259691877368387,-20.8809796484115,0.000194605538380128,-20.8700022676324,0.000209971474939512,,,-21.1005272639941,0.000263204617495945
-21.0895498832149,0.000329967885358755,-20.8700022676324,0.000236907844372526,-20.8590248868532,0.000252631220786115,,,-21.0895498832149,0.000334431218765449
-21.0785725024358,0.000418000342474449,-20.8590248868532,0.000286643093416961,-20.8480475060741,0.000303112893366472,,,-21.0785725024358,0.000423654452996591
-21.0675951216567,0.000527926251537858,-20.8480475060741,0.000345888856196693,-20.837070125295,0.000362672677767159,,,-21.0675951216567,0.000535067282466362
-21.0566177408775,0.000664754881597928,-20.837070125295,0.000416262051013209,-20.8260927445159,0.000432733698400787,,,-21.0566177408775,0.000673746734447707
-21.0456403600984,0.000956570163852305,-20.8260927445159,0.000499613676639066,-20.8151153637367,0.00051490189399661,,,-21.0456403600984,0.000970700149472792
-21.0346629793193,0.00120098590887753,-20.8151153637367,0.000598054998454247,-20.8041379829576,0.000611666740619017,,,-21.0346629793193,0.00121875800408206
-21.0236855985402,0.00150341622812756,-20.8041379829576,0.000715575233421238,-20.7931606021785,0.000724579960842897,,,-21.0236855985402,0.00152570408506426
-21.012708217761,0.00187646863023966,-20.7931606021785,0.000853710185826588,-20.7821832213994,0.00085522269585712,,,-21.012708217761,0.00190433826939061
-21.0017308369819,0.00233520307189348,-20.7821832213994,0.00101411995419721,-20.7712058406202,0.00100666888303296,,,-21.0017308369819,0.00236995095234499
-20.9907534562028,0.00289754233745702,-20.7712058406202,0.00120150515746599,-20.7602284598411,0.00118171216386828,,,-20.9907534562028,0.00294073995702369
-20.9797760754237,0.00358473657570615,-20.7602284598411,0.0014197828601353,-20.749251079062,0.00138413334093723,,,-20.9797760754237,0.00363828250005652
-20.9687986946445,0.00453937217411805,-20.749251079062,0.00167523216267872,-20.7382736982828,0.001616751370446,,,-20.9687986946445,0.00461182333588099
-20.9578213138654,0.00558916108767907,-20.7382736982828,0.00197109489309438,-20.7272963175037,0.00188270252013448,,,-20.9578213138654,0.0056787594018335
-20.9468439330863,0.00686183379145715,-20.7272963175037,0.00231143384675076,-20.7163189367246,0.0021872910934823,,,-20.9468439330863,0.00697232878919771
-20.9358665523072,0.00839996935335121,-20.7163189367246,0.00270535258760922,-20.7053415559455,0.00253357815547844,,,-20.9358665523072,0.00853585562574701
-20.924889171528,0.0102532224311555,-20.7053415559455,0.00315634076223843,-20.6943641751663,0.00292688709900112,,,-20.924889171528,0.0104198706368915
-20.9139117907489,0.0124792785631805,-20.6943641751663,0.00367307481050536,-20.6833867943872,0.00337229615098867,,,-20.9139117907489,0.0126830858424632
-20.9029344099698,0.0151448953671053,-20.6833867943872,0.00426348611293712,-20.6724094136081,0.00387620661799808,,,-20.9029344099698,0.0153934573123784
-20.8919570291906,0.0183270291426087,-20.6724094136081,0.00493829201001465,-20.6614320328289,0.00444271637379125,,,-20.8919570291906,0.0186293355767046
-20.8809796484115,0.0221746184609148,-20.6614320328289,0.00570322672052681,-20.6504546520498,0.00507870374925364,,,-20.8809796484115,0.0225427980902957
-20.8700022676324,0.0267453917834299,-20.6504546520498,0.00657000984830216,-20.6394772712707,0.00579061309773136,,,-20.8700022676324,0.0271922711027419
-20.8590248868532,0.0320981541485443,-20.6394772712707,0.00754947283100021,-20.6284998904916,0.00658613429273473,,,-20.8590248868532,0.0326374284627474
