File_name,Total_energy,Adsorption_energy,Rigid_adsorption_energy,Deformation_energy,dEad/dNi
op_069 (3 1 1).std.csv,-0.86499,-7.4648,-0.86499,-6.5998,-7.4648
op_070 (3 1 1).std.csv,-0.84566,-7.4455,-0.84566,-6.5998,-7.4455
op_071 (3 1 1).std.csv,-0.9401,-7.5399,-0.9401,-6.5998,-7.5399
op_072 (3 1 1).std.csv,-0.89709,-7.4969,-0.89709,-6.5998,-7.4969
op_073 (3 1 1).std.csv,-0.95222,-7.552,-0.95222,-6.5998,-7.552
op_074 (3 1 1).std.csv,-1.0928,-7.6927,-1.0929,-6.5998,-7.6927
op_075 (3 1 1).std.csv,-0.94122,-7.541,-0.94122,-6.5998,-7.541
op_076 (3 1 1).std.csv,-0.82219,-7.422,-0.82219,-6.5998,-7.422
op_077 (3 1 1).std.csv,-0.90898,-7.5088,-0.90899,-6.5998,-7.5088
op_078 (3 1 1).std.csv,-0.91037,-7.5102,-0.9105,-6.5997,-7.5102
op_079 (3 1 1).std.csv,-0.93352,-7.5333,-0.93352,-6.5998,-7.5333
op_080 (3 1 1).std.csv,-0.92861,-7.5284,-0.92862,-6.5998,-7.5284
op_081 (3 1 1).std.csv,-0.8955,-7.4953,-0.89551,-6.5998,-7.4953
op_082 (3 1 1).std.csv,-0.95963,-7.5595,-0.95964,-6.5998,-7.5595
op_083 (3 1 1).std.csv,-0.94229,-7.5421,-0.94229,-6.5998,-7.5421
op_084 (3 1 1).std.csv,-0.93036,-7.5302,-0.93036,-6.5998,-7.5302
op_085 (3 1 1).std.csv,-0.83704,-7.4369,-0.83705,-6.5998,-7.4369
op_086 (3 1 1).std.csv,-0.95555,-7.5554,-0.95555,-6.5998,-7.5554
op_087 (3 1 1).std.csv,-0.94242,-7.5422,-0.94242,-6.5998,-7.5422
op_088 (3 1 1).std.csv,-0.92068,-7.5205,-0.92068,-6.5998,-7.5205
op_089 (3 1 1).std.csv,-0.95326,-7.5531,-0.95327,-6.5998,-7.5531
op_090 (3 1 1).std.csv,-0.95526,-7.5551,-0.95526,-6.5998,-7.5551
op_091 (3 1 1).std.csv,-0.90829,-7.5081,-0.9084,-6.5997,-7.5081
op_092 (3 1 1).std.csv,-0.96506,-7.5649,-0.96507,-6.5998,-7.5649
op_093 (3 1 1).std.csv,-0.86007,-7.4599,-0.86007,-6.5998,-7.4599
op_094 (3 1 1).std.csv,-0.84787,-7.4477,-0.84787,-6.5998,-7.4477
op_095 (3 1 1).std.csv,-0.88261,-7.4824,-0.88261,-6.5998,-7.4824
op_096 (3 1 1).std.csv,-0.85116,-7.451,-0.85116,-6.5998,-7.451
op_097 (3 1 1).std.csv,-0.95359,-7.5534,-0.9536,-6.5998,-7.5534
op_098 (3 1 1).std.csv,-0.93017,-7.53,-0.93017,-6.5998,-7.53
op_099 (3 1 1).std.csv,-0.89896,-7.4988,-0.89896,-6.5998,-7.4988
op_100 (3 1 1).std.csv,-0.91349,-7.5133,-0.91349,-6.5998,-7.5133
op_101 (3 1 1).std.csv,-0.87505,-7.4749,-0.87506,-6.5998,-7.4749
op_102 (3 1 1).std.csv,-0.89528,-7.4951,-0.89528,-6.5998,-7.4951
op_103 (3 1 1).std.csv,-0.84351,-7.4433,-0.84351,-6.5998,-7.4433
op_104 (3 1 1).std.csv,-0.85231,-7.4521,-0.85241,-6.5997,-7.4521
op_105 (3 1 1).std.csv,-0.95652,-7.5563,-0.95652,-6.5998,-7.5563
op_106 (3 1 1).std.csv,-0.90477,-7.5046,-0.90477,-6.5998,-7.5046
op_107 (3 1 1).std.csv,-0.91591,-7.5157,-0.91591,-6.5998,-7.5157
op_108 (3 1 1).std.csv,-0.95963,-7.5594,-0.95963,-6.5998,-7.5594
