X_s	Y_s	X_p	Y_p	X_d	Y_d	X_f	Y_f	X_sum	Y_sum
-20.55874518	1.155001425	-20.3281492	0.093859632	-20.30618768	0.053015283			-20.55874518	1.172884162
-20.54776442	1.287732248	-20.31716844	0.101882517	-20.29520692	0.05673441			-20.54776442	1.307846374
-20.53678366	1.432296821	-20.30618768	0.110414641	-20.28422616	0.060618264			-20.53678366	1.454875346
-20.5258029	1.589215955	-20.29520692	0.119477929	-20.2732454	0.064667077			-20.5258029	1.614503929
-20.51482214	1.759254166	-20.28422616	0.129086254	-20.26226464	0.068879506			-20.51482214	1.787523698
-20.50384137	1.94280242	-20.2732454	0.139255592	-20.25128388	0.073258546			-20.50384137	1.974333745
-20.49286061	2.140514363	-20.26226464	0.149998369	-20.24030312	0.077800169			-20.49286061	2.175612226
-20.48187985	2.352982952	-20.25128388	0.161334589	-20.22932235	0.08250511			-20.48187985	2.391975382
-20.47089909	2.580667762	-20.24030312	0.173268378	-20.21834159	0.087373921			-20.47089909	2.623901394
-20.45991833	2.823976933	-20.22932235	0.18581449	-20.20736083	0.09240221			-20.45991833	2.871816542
-20.44893757	3.083372618	-20.21834159	0.198984658	-20.19638007	0.09762458			-20.44893757	3.136207131
-20.43795681	3.359222734	-20.20736083	0.212783485	-20.18539931	0.103030987			-20.43795681	3.417463087
-20.42697605	3.651840785	-20.19638007	0.227268131	-20.17441855	0.108591951			-20.42697605	3.715920184
-20.41599529	3.961651108	-20.18539931	0.24243133	-20.16343779	0.11430749			-20.41599529	4.032036168
-20.40501453	4.288554547	-20.17441855	0.258239144	-20.15245703	0.120169958			-20.40501453	4.365715575
-20.39403377	4.632867829	-20.16343779	0.274696939	-20.14147627	0.126181182			-20.39403377	4.717310009
-20.38305301	4.99461047	-20.15245703	0.291796571	-20.13049551	0.13233396			-20.38305301	5.086858696
-20.37207224	5.373774931	-20.14147627	0.309543425	-20.11951475	0.138627516			-20.37207224	5.474377111
-20.36109148	5.77022578	-20.13049551	0.327926443	-20.10853399	0.145062891			-20.36109148	5.879748479
-20.35011072	6.183908145	-20.11951475	0.346943671	-20.09755323	0.151634191			-20.35011072	6.302946073
-20.33912996	6.614494501	-20.10853399	0.36659517	-20.08657246	0.158340199			-20.33912996	6.743657755
-20.3281492	7.061782071	-20.09755323	0.386865694	-20.0755917	0.165176626			-20.3281492	7.201707627
-20.31716844	7.525352324	-20.08657246	0.407748537	-20.06461094	0.172149275			-20.31716844	7.676694812
-20.30618768	8.004702389	-20.0755917	0.429230044	-20.05363018	0.179296722			-20.30618768	8.168132313
-20.29520692	8.499413307	-20.06461094	0.451308623	-20.04264942	0.186624469			-20.29520692	8.675625646
-20.28422616	9.008855809	-20.05363018	0.474066882	-20.03166866	0.194078958			-20.28422616	9.198560328
-20.2732454	9.532379687	-20.04264942	0.497499429	-20.0206879	0.201668451			-20.2732454	9.736302355
-20.26226464	10.06921649	-20.03166866	0.521483448	-20.00970714	0.209391445			-20.26226464	10.28809437
-20.25128388	10.61875071	-20.0206879	0.546014433	-19.99872638	0.217289881			-20.25128388	10.85334384
-20.24030312	11.17995947	-20.00970714	0.571077438	-19.98774562	0.225359905			-20.24030312	11.43102802
-20.22932235	11.75205543	-19.99872638	0.596718491	-19.97676486	0.233572885			-20.22932235	12.02037503
-20.21834159	12.33417474	-19.98774562	0.622921398	-19.9657841	0.241939028			-20.21834159	12.62053332
-20.20736083	12.92526115	-19.97676486	0.649622554	-19.95480334	0.250460747			-20.20736083	13.23044685
-20.19638007	13.53046943	-19.9657841	0.676819222	-19.94382257	0.259147703			-20.19638007	13.85536214
-20.18539931	14.14843652	-19.95480334	0.70450027	-19.93284181	0.268012341			-20.18539931	14.49389884
-20.17441855	14.77221578	-19.94382257	0.732662224	-19.92186105	0.277064976			-20.17441855	15.13904688
-20.16343779	15.40076506	-19.93284181	0.761304085	-19.91088029	0.286343959			-20.16343779	15.78976949
-20.15245703	16.03273143	-19.92186105	0.790423604	-19.89989953	0.295894097			-20.15245703	16.44469795
-20.14147627	16.66716571	-19.91088029	0.820115729	-19.88891877	0.305701049			-20.14147627	17.10289032
-20.13049551	17.30273642	-19.89989953	0.850485394	-19.87793801	0.315801758			-20.13049551	17.76299683
-20.11951475	17.93842109	-19.88891877	0.881437746	-19.86695725	0.326218977			-20.11951475	18.42399228
-20.10853399	18.57331189	-19.87793801	0.913005403	-19.85597649	0.336928896			-20.10853399	19.08496995
-20.09755323	19.20619326	-19.86695725	0.9451959	-19.84499573	0.347953535			-20.09755323	19.74469315
-20.08657246	19.83613215	-19.85597649	0.977887488	-19.83401497	0.359316341			-20.08657246	20.40222089
-20.0755917	20.46209877	-19.84499573	1.011085282	-19.82303421	0.371056454			-20.0755917	21.05650544
-20.06461094	21.08349753	-19.83401497	1.044795571	-19.81205344	0.383216407			-20.06461094	21.70695543
-20.05363018	21.70510128	-19.82303421	1.079036029	-19.80107268	0.395863271			-20.05363018	22.35846488
-20.04264942	22.32637065	-19.81205344	1.113896156	-19.79009192	0.408999382			-20.04264942	23.01049454
-20.03166866	22.94056856	-19.80107268	1.149480614	-19.77911116	0.422637247			-20.03166866	23.65613097
-20.0206879	23.54733869	-19.79009192	1.185701679	-19.7681304	0.436874525			-20.0206879	24.29502157
-20.00970714	24.14610745	-19.77911116	1.22248105	-19.75714964	0.451753137			-20.00970714	24.92657633
-19.99872638	24.74247443	-19.7681304	1.260003278	-19.74616888	0.467259384			-19.99872638	25.5564828
-19.98774562	25.33594545	-19.75714964	1.298274008	-19.73518812	0.483440763			-19.98774562	26.18422676
-19.97676486	25.9204714	-19.74616888	1.33711987	-19.72420736	0.500350024			-19.97676486	26.80366684
-19.9657841	26.49611583	-19.73518812	1.376544124	-19.7132266	0.51807417			-19.9657841	27.41487408
-19.95480334	27.06278557	-19.72420736	1.416551432	-19.70224584	0.536674061			-19.95480334	28.01774659
-19.94382257	27.62071442	-19.7132266	1.457243442	-19.69126508	0.556207492			-19.94382257	28.61252435
-19.93284181	28.17029016	-19.70224584	1.498624891	-19.68028432	0.57673545			-19.93284181	29.19960659
-19.92186105	28.71194717	-19.69126508	1.540704355	-19.66930355	0.598294872			-19.92186105	29.77943575
-19.91088029	29.24912351	-19.68028432	1.583478361	-19.65832279	0.620959916			-19.91088029	30.35558319
-19.89989953	29.78548033	-19.66930355	1.626837621	-19.64734203	0.644803957			-19.89989953	30.93185982
-19.88891877	30.31888092	-19.65832279	1.670784227	-19.63636127	0.669959559			-19.88891877	31.50601972
-19.87793801	30.85306935	-19.64734203	1.715316035	-19.62538051	0.696511311			-19.87793801	32.08187651
-19.86695725	31.38912921	-19.63636127	1.760538728	-19.61439975	0.72454512			-19.86695725	32.66054408
-19.85597649	31.92248013	-19.62538051	1.806456953	-19.60341899	0.75415116			-19.85597649	33.23729651
-19.84499573	32.45425839	-19.61439975	1.853084614	-19.59243823	0.785442652			-19.84499573	33.81329721
-19.83401497	32.98569435	-19.60341899	1.900428312	-19.58145747	0.818518591			-19.83401497	34.38980627
-19.82303421	33.51843695	-19.59243823	1.948634654	-19.57047671	0.853416962			-19.82303421	34.96852944
