File_name,Total_energy,Adsorption_energy,Rigid_adsorption_energy,Deformation_energy,dEad/dNi
op_00 (3 1 1).std.csv,-1.33098,-28.4516,-1.63225,-26.8194,-28.4516
op_01 (3 1 1).std.csv,-1.40132,-28.522,-1.70284,-26.8191,-28.522
op_02 (3 1 1).std.csv,-1.31135,-28.432,-1.61347,-26.8185,-28.432
op_03 (3 1 1).std.csv,-1.33398,-28.4546,-1.63558,-26.8191,-28.4546
op_04 (3 1 1).std.csv,-1.34403,-28.4647,-1.6451,-26.8196,-28.4647
op_05 (3 1 1).std.csv,-1.34124,-28.4619,-1.64279,-26.8191,-28.4619
op_06 (3 1 1).std.csv,-1.13733,-28.258,-1.43857,-26.8194,-28.258
op_07 (3 1 1).std.csv,-1.23182,-28.3525,-1.5334,-26.8191,-28.3525
op_08 (3 1 1).std.csv,-1.3725,-28.4932,-1.67341,-26.8197,-28.4932
op_09 (3 1 1).std.csv,-1.26513,-28.3858,-1.56769,-26.8181,-28.3858
op_10 (3 1 1).std.csv,-1.36442,-28.4851,-1.6653,-26.8198,-28.4851
op_11 (3 1 1).std.csv,-1.27484,-28.3955,-1.57559,-26.8199,-28.3955
op_12 (3 1 1).std.csv,-1.29801,-28.4187,-1.59875,-26.8199,-28.4187
op_13 (3 1 1).std.csv,-1.35762,-28.4783,-1.65952,-26.8188,-28.4783
op_14 (3 1 1).std.csv,-1.32362,-28.4443,-1.62496,-26.8193,-28.4443
op_15 (3 1 1).std.csv,-1.33791,-28.4586,-1.63893,-26.8196,-28.4586
op_16 (3 1 1).std.csv,-1.32748,-28.4481,-1.62931,-26.8188,-28.4481
op_17 (3 1 1).std.csv,-1.23312,-28.3538,-1.53482,-26.819,-28.3538
op_18 (3 1 1).std.csv,-1.29631,-28.417,-1.59707,-26.8199,-28.417
op_19 (3 1 1).std.csv,-1.30947,-28.4301,-1.61059,-26.8195,-28.4301
op_20 (3 1 1).std.csv,-1.33779,-28.4585,-1.63882,-26.8196,-28.4585
op_21 (3 1 1).std.csv,-1.28689,-28.4075,-1.58808,-26.8195,-28.4075
op_22 (3 1 1).std.csv,-1.24025,-28.3609,-1.54106,-26.8199,-28.3609
op_23 (3 1 1).std.csv,-1.22846,-28.3491,-1.5294,-26.8197,-28.3491
op_24 (3 1 1).std.csv,-1.286,-28.4067,-1.58712,-26.8196,-28.4067
op_25 (3 1 1).std.csv,-1.18484,-28.3055,-1.48566,-26.8198,-28.3055
op_26 (3 1 1).std.csv,-1.3073,-28.428,-1.60911,-26.8189,-28.428
op_27 (3 1 1).std.csv,-1.22332,-28.344,-1.52542,-26.8186,-28.344
op_28 (3 1 1).std.csv,-1.29601,-28.4167,-1.59709,-26.8196,-28.4167
op_29 (3 1 1).std.csv,-1.34137,-28.462,-1.64228,-26.8198,-28.462
op_30 (3 1 1).std.csv,-1.32697,-28.4476,-1.62794,-26.8197,-28.4476
op_31 (3 1 1).std.csv,-1.30548,-28.4261,-1.60657,-26.8196,-28.4261
op_32 (3 1 1).std.csv,-1.23654,-28.3572,-1.53809,-26.8191,-28.3572
op_33 (3 1 1).std.csv,-1.34844,-28.4691,-1.64954,-26.8196,-28.4691
op_34 (3 1 1).std.csv,-1.2033,-28.324,-1.50409,-26.8199,-28.324
op_35 (3 1 1).std.csv,-1.25667,-28.3773,-1.55915,-26.8182,-28.3773
