File_name,Total_energy,Adsorption_energy,Rigid_adsorption_energy,Deformation_energy,dEad/dNi
op_000 (3 1 1).std.csv,-0.95001,-7.5498,-0.95001,-6.5998,-7.5498
op_001 (3 1 1).std.csv,-0.94812,-7.5479,-0.94812,-6.5998,-7.5479
op_002 (3 1 1).std.csv,-0.91462,-7.5144,-0.91463,-6.5998,-7.5144
op_003 (3 1 1).std.csv,-0.88943,-7.4892,-0.88943,-6.5998,-7.4892
op_004 (3 1 1).std.csv,-0.88557,-7.4854,-0.88557,-6.5998,-7.4854
op_005 (3 1 1).std.csv,-0.89943,-7.4993,-0.89944,-6.5998,-7.4993
op_006 (3 1 1).std.csv,-0.9253,-7.5251,-0.92531,-6.5998,-7.5251
op_007 (3 1 1).std.csv,-0.90813,-7.508,-0.90813,-6.5998,-7.508
op_008 (3 1 1).std.csv,-0.92951,-7.5293,-0.92952,-6.5998,-7.5293
op_009 (3 1 1).std.csv,-0.95346,-7.5533,-0.95347,-6.5998,-7.5533
op_010 (3 1 1).std.csv,-0.76301,-7.3628,-0.76302,-6.5998,-7.3628
op_011 (3 1 1).std.csv,-0.83609,-7.4359,-0.83609,-6.5998,-7.4359
op_012 (3 1 1).std.csv,-0.89684,-7.4967,-0.89684,-6.5998,-7.4967
op_013 (3 1 1).std.csv,-0.74246,-7.3423,-0.74246,-6.5998,-7.3423
op_014 (3 1 1).std.csv,-0.94354,-7.5434,-0.94354,-6.5998,-7.5434
op_015 (3 1 1).std.csv,-0.91101,-7.5108,-0.91101,-6.5998,-7.5108
op_016 (3 1 1).std.csv,-0.87298,-7.4728,-0.87299,-6.5998,-7.4728
op_017 (3 1 1).std.csv,-0.92752,-7.5273,-0.92752,-6.5998,-7.5273
op_018 (3 1 1).std.csv,-1.0362,-7.636,-1.0362,-6.5998,-7.636
op_019 (3 1 1).std.csv,-0.89082,-7.4906,-0.89086,-6.5998,-7.4906
op_020 (3 1 1).std.csv,-0.90179,-7.5016,-0.90179,-6.5998,-7.5016
op_021 (3 1 1).std.csv,-0.91875,-7.5186,-0.91875,-6.5998,-7.5186
op_022 (3 1 1).std.csv,-0.93007,-7.5299,-0.93007,-6.5998,-7.5299
op_023 (3 1 1).std.csv,-0.86555,-7.4654,-0.86555,-6.5998,-7.4654
op_024 (3 1 1).std.csv,-0.92566,-7.5255,-0.92566,-6.5998,-7.5255
op_025 (3 1 1).std.csv,-0.91532,-7.5151,-0.91533,-6.5998,-7.5151
op_026 (3 1 1).std.csv,-0.93179,-7.5316,-0.93179,-6.5998,-7.5316
op_027 (3 1 1).std.csv,-0.92897,-7.5288,-0.92897,-6.5998,-7.5288
op_028 (3 1 1).std.csv,-0.91184,-7.5117,-0.91184,-6.5998,-7.5117
op_029 (3 1 1).std.csv,-0.91995,-7.5198,-0.91996,-6.5998,-7.5198
op_030 (3 1 1).std.csv,-0.94164,-7.5415,-0.94165,-6.5998,-7.5415
op_031 (3 1 1).std.csv,-0.89082,-7.4906,-0.89083,-6.5998,-7.4906
op_032 (3 1 1).std.csv,-0.88144,-7.4813,-0.88145,-6.5998,-7.4813
op_033 (3 1 1).std.csv,-0.85169,-7.4515,-0.85169,-6.5998,-7.4515
op_034 (3 1 1).std.csv,-0.92573,-7.5256,-0.92574,-6.5998,-7.5256
op_035 (3 1 1).std.csv,-0.8675,-7.4673,-0.8675,-6.5998,-7.4673
op_036 (3 1 1).std.csv,-0.95176,-7.5516,-0.95176,-6.5998,-7.5516
op_037 (3 1 1).std.csv,-0.92106,-7.5209,-0.92106,-6.5998,-7.5209
op_038 (3 1 1).std.csv,-0.81978,-7.4196,-0.81979,-6.5998,-7.4196
op_039 (3 1 1).std.csv,-0.85832,-7.4581,-0.85833,-6.5998,-7.4581
op_040 (3 1 1).std.csv,-0.84781,-7.4476,-0.84782,-6.5998,-7.4476
op_041 (3 1 1).std.csv,-0.87862,-7.4784,-0.87862,-6.5998,-7.4784
op_042 (3 1 1).std.csv,-0.93195,-7.5318,-0.93195,-6.5998,-7.5318
op_043 (3 1 1).std.csv,-0.92509,-7.5249,-0.92509,-6.5998,-7.5249
op_044 (3 1 1).std.csv,-0.9454,-7.5452,-0.9454,-6.5998,-7.5452
op_045 (3 1 1).std.csv,-0.94075,-7.5406,-0.94075,-6.5998,-7.5406
op_046 (3 1 1).std.csv,-0.7719,-7.3717,-0.7719,-6.5998,-7.3717
op_047 (3 1 1).std.csv,-0.95463,-7.5544,-0.95463,-6.5998,-7.5544
op_048 (3 1 1).std.csv,-0.87327,-7.4731,-0.87328,-6.5998,-7.4731
op_049 (3 1 1).std.csv,-0.93478,-7.5346,-0.93559,-6.599,-7.5346
op_050 (3 1 1).std.csv,-0.89276,-7.4926,-0.89276,-6.5998,-7.4926
op_051 (3 1 1).std.csv,-0.94588,-7.5457,-0.94588,-6.5998,-7.5457
op_052 (3 1 1).std.csv,-0.90912,-7.5089,-0.90912,-6.5998,-7.5089
op_053 (3 1 1).std.csv,-0.80928,-7.4091,-0.80929,-6.5998,-7.4091
op_054 (3 1 1).std.csv,-0.8941,-7.4939,-0.8941,-6.5998,-7.4939
op_055 (3 1 1).std.csv,-0.90663,-7.5065,-0.90664,-6.5998,-7.5065
op_056 (3 1 1).std.csv,-0.7335,-7.3333,-0.73351,-6.5998,-7.3333
op_057 (3 1 1).std.csv,-0.84524,-7.4451,-0.84525,-6.5998,-7.4451
op_058 (3 1 1).std.csv,-0.8847,-7.4845,-0.8847,-6.5998,-7.4845
op_059 (3 1 1).std.csv,-0.9524,-7.5522,-0.9524,-6.5998,-7.5522
op_060 (3 1 1).std.csv,-0.80533,-7.4051,-0.80533,-6.5998,-7.4051
op_061 (3 1 1).std.csv,-0.92513,-7.5249,-0.92513,-6.5998,-7.5249
op_062 (3 1 1).std.csv,-0.95759,-7.5574,-0.95759,-6.5998,-7.5574
op_063 (3 1 1).std.csv,-0.88213,-7.482,-0.88214,-6.5998,-7.482
op_064 (3 1 1).std.csv,-0.85544,-7.4553,-0.85544,-6.5998,-7.4553
op_065 (3 1 1).std.csv,-0.9435,-7.5433,-0.9435,-6.5998,-7.5433
op_066 (3 1 1).std.csv,-0.87687,-7.4767,-0.87688,-6.5998,-7.4767
op_067 (3 1 1).std.csv,-0.89404,-7.4939,-0.89404,-6.5998,-7.4939
op_068 (3 1 1).std.csv,-0.75782,-7.3576,-0.75782,-6.5998,-7.3576
op_069 (3 1 1).std.csv,-0.91276,-7.5126,-0.91277,-6.5998,-7.5126
