Total_energy,Adsorption_energy,Rigid_adsorption_energy,Deformation_energy,dEad/dNi
-1.69479788344673,-1.92092151177425,-1.69483039109105,-0.226091120683195,-1.92092151177425
-1.25907137016556,-1.48519499849308,-1.25908635717455,-0.226108641318528,-1.48519499849308
-0.711331819571646,-0.937455447899165,-0.711336476277291,-0.226118971621873,-0.937455447899165
-0.269655189215357,-0.495778817542877,-0.26966441261224,-0.226114404930636,-0.495778817542877
