File_name,Total_energy,Adsorption_energy,Rigid_adsorption_energy,Deformation_energy,dEad/dNi
op_00 (3 1 1).std.csv,-1.33059,-28.4513,-1.6317,-26.8196,-28.4513
op_01 (3 1 1).std.csv,-1.3443,-28.465,-1.6451,-26.8199,-28.465
op_02 (3 1 1).std.csv,-1.28541,-28.4061,-1.58725,-26.8188,-28.4061
op_03 (3 1 1).std.csv,-1.27385,-28.3945,-1.57516,-26.8194,-28.3945
op_04 (3 1 1).std.csv,-1.18776,-28.3084,-1.48888,-26.8195,-28.3084
op_05 (3 1 1).std.csv,-1.32984,-28.4505,-1.63096,-26.8195,-28.4505
op_06 (3 1 1).std.csv,-1.27148,-28.3921,-1.57354,-26.8186,-28.3921
op_07 (3 1 1).std.csv,-1.24844,-28.3691,-1.54988,-26.8192,-28.3691
op_08 (3 1 1).std.csv,-1.20481,-28.3255,-1.50623,-26.8192,-28.3255
op_09 (3 1 1).std.csv,-1.41008,-28.5307,-1.71158,-26.8192,-28.5307
op_10 (3 1 1).std.csv,-1.28214,-28.4028,-1.58336,-26.8194,-28.4028
op_11 (3 1 1).std.csv,-1.34024,-28.4609,-1.64106,-26.8198,-28.4609
op_12 (3 1 1).std.csv,-1.24175,-28.3624,-1.54411,-26.8183,-28.3624
op_13 (3 1 1).std.csv,-1.38977,-28.5104,-1.69069,-26.8197,-28.5104
op_14 (3 1 1).std.csv,-1.29837,-28.419,-1.59923,-26.8198,-28.419
op_15 (3 1 1).std.csv,-1.27404,-28.3947,-1.57523,-26.8195,-28.3947
op_16 (3 1 1).std.csv,-1.23806,-28.3587,-1.53908,-26.8196,-28.3587
op_17 (3 1 1).std.csv,-1.41083,-28.5315,-1.71307,-26.8184,-28.5315
op_18 (3 1 1).std.csv,-1.29061,-28.4113,-1.59152,-26.8197,-28.4113
op_19 (3 1 1).std.csv,-1.26443,-28.3851,-1.56522,-26.8199,-28.3851
op_20 (3 1 1).std.csv,-1.26776,-28.3884,-1.57009,-26.8183,-28.3884
op_21 (3 1 1).std.csv,-1.30184,-28.4225,-1.60261,-26.8199,-28.4225
op_22 (3 1 1).std.csv,-1.16967,-28.2903,-1.47302,-26.8173,-28.2903
op_23 (3 1 1).std.csv,-1.30599,-28.4267,-1.60682,-26.8198,-28.4267
op_24 (3 1 1).std.csv,-1.35582,-28.4765,-1.65724,-26.8192,-28.4765
op_25 (3 1 1).std.csv,-1.28673,-28.4074,-1.58768,-26.8197,-28.4074
op_26 (3 1 1).std.csv,-1.32007,-28.4407,-1.62109,-26.8196,-28.4407
op_27 (3 1 1).std.csv,-1.34446,-28.4651,-1.64522,-26.8199,-28.4651
op_28 (3 1 1).std.csv,-1.22565,-28.3463,-1.52728,-26.819,-28.3463
op_29 (3 1 1).std.csv,-1.3358,-28.4565,-1.63675,-26.8197,-28.4565
op_30 (3 1 1).std.csv,-1.39487,-28.5155,-1.69578,-26.8198,-28.5155
op_31 (3 1 1).std.csv,-1.2703,-28.391,-1.57106,-26.8199,-28.391
op_32 (3 1 1).std.csv,-1.39152,-28.5122,-1.69344,-26.8187,-28.5122
op_33 (3 1 1).std.csv,-1.32378,-28.4444,-1.62541,-26.819,-28.4444
op_34 (3 1 1).std.csv,-1.30309,-28.4237,-1.60499,-26.8188,-28.4237
op_35 (3 1 1).std.csv,-1.29686,-28.4175,-1.59815,-26.8194,-28.4175
