X_s,Y_s,X_p,Y_p,X_d,Y_d,X_f,Y_f,X_sum,Y_sum
-22.2381216562808,0,-22.2381216562808,0,-22.2381216562808,0,-22.2381216562808,0,-22.2381216562808,0
-22.2271447753809,0,-22.2271447753809,0,-22.2271447753809,0,-22.2271447753809,0,-22.2271447753809,0
-21.1514104471837,0.000124259723481772,-20.9208959482843,0.000102053281845963,-20.9099190673843,0.000106788574751482,22.9097894853023,0,-21.1514104471837,0.000126086195645108
-21.1404335662837,0.000159315815392076,-20.9099190673843,0.000123302989315678,-20.8989421864843,0.000128497218858908,,,-21.1404335662837,0.000161657570981413
-21.1294566853837,0.000203647542736605,-20.8989421864843,0.000148560108919933,-20.8879653055843,0.00015417681437806,,,-21.1294566853837,0.000206640922711371
-21.1184798044837,0.000259532191107812,-20.8879653055843,0.000178491397050225,-20.8769884246844,0.000184460798339572,,,-21.1184798044837,0.000263347009854111
-21.1075029235838,0.000329757793232891,-20.8769884246844,0.000213857031322156,-20.8660115437844,0.000220065618600798,,,-21.1075029235838,0.000334604845947213
-21.0965260426838,0.000417725202846432,-20.8660115437844,0.000255520544033139,-20.8550346628844,0.000261798394942369,,,-21.0965260426838,0.000423865273285548
-21.0855491617838,0.000527567537758042,-20.8550346628844,0.000304459289452032,-20.8440577819844,0.000310564749799724,,,-21.0855491617838,0.000535322161661873
-21.0745722808838,0.000664289253195439,-20.8440577819844,0.000361775388557033,-20.8330809010845,0.000367376715429681,,,-21.0745722808838,0.000674053525924914
-21.0635953999839,0.000833927247324071,-20.8330809010845,0.000428707078362432,-20.8221040201845,0.000433360607939694,,,-21.0635953999839,0.000846184999561132
-21.0526185190839,0.00104373651414134,-20.8221040201845,0.00050664037542863,-20.8111271392845,0.000510880204456057,,,-21.0526185190839,0.00105907821646869
-21.0416416381839,0.00130240293400052,-20.8111271392845,0.000599883089561243,-20.8001502583846,0.000599397000148427,,,-21.0416416381839,0.00132154672925248
-21.030664757284,0.00162028581660049,-20.8001502583846,0.000705407445874604,-20.7891733774846,0.000701881617839272,,,-21.030664757284,0.00164410211731119
-21.019687876384,0.00200969277168416,-20.7891733774846,0.000829127266122539,-20.7781964965846,0.000819554881127701,,,-21.019687876384,0.00203923289781263
-21.008710995484,0.00248518936389457,-20.7781964965846,0.000971833536562688,-20.7672196156846,0.000953795023603843,,,-21.008710995484,0.0025217187321129
-20.997734114584,0.00306394579410357,-20.7672196156846,0.00113428166495186,-20.7562427347847,0.00110771119589334,,,-20.997734114584,0.00310898220289393
-20.9867572336841,0.00376612252312669,-20.7562427347847,0.00132210936692924,-20.7452658538847,0.00128228646601854,,,-20.9867572336841,0.00382148010609456
-20.9757803527841,0.00467648115183198,-20.7452658538847,0.00153547830575101,-20.7342889729847,0.00148041360535109,,,-20.9757803527841,0.00474556042679565
-20.9648034718841,0.00577878571632797,-20.7342889729847,0.00177883907998599,-20.7233120920848,0.00170462221707487,,,-20.9648034718841,0.00586439963408228
-20.9538265909842,0.00704788098202468,-20.7233120920848,0.00205568828857305,-20.7123352111848,0.00195841510385128,,,-20.9538265909842,0.00715233716653314
-20.9428497100842,0.00857035284267442,-20.7123352111848,0.0023718239887619,-20.7013583302848,0.00224330872929716,,,-20.9428497100842,0.00869742490594273
-20.9318728291842,0.0103910224716734,-20.7013583302848,0.00272793843415446,-20.6903814493849,0.00256299354205931,,,-20.9318728291842,0.0105451548090933
-20.9208959482843,0.0126823251478216,-20.6903814493849,0.0031300682457285,-20.6794045684849,0.00292147767418301,,,-20.9208959482843,0.0128728714713979
-20.9099190673843,0.0152955509489302,-20.6794045684849,0.00358497701218429,-20.6684276875849,0.00332185764075592,,,-20.9099190673843,0.0155256425129973
-20.8989421864843,0.0183937915740166,-20.6684276875849,0.00409664680629419,-20.6574508066849,0.00376661804613139,,,-20.8989421864843,0.0186708489017954
-20.8879653055843,0.0220556449180698,-20.6574508066849,0.00466860072170232,-20.646473925785,0.0042602909711371,,,-20.8879653055843,0.022388313129498
-20.8769884246844,0.0263701871630174,-20.646473925785,0.00530850215909129,-20.635497044885,0.00480679007563406,,,-20.8769884246844,0.0267685049926791
-20.8660115437844,0.0314379574263962,-20.635497044885,0.00602280802408603,-20.624520163985,0.00541104372644619,,,-20.8660115437844,0.0319135435890301
-20.8550346628844,0.0373719640335946,-20.624520163985,0.00682035124170369,-20.6135432830851,0.00607572757506662,,,-20.8550346628844,0.0379382217179889
-20.8440577819844,0.0442986995764607,-20.6135432830851,0.00770511676372331,-20.6025664021851,0.00680582673870709,,,-20.8440577819844,0.0449710397148174
-20.8330809010845,0.0523591495664839,-20.6025664021851,0.00868642883539732,-20.5915895212851,0.00760574462840404,,,-20.8330809010845,0.053155233360276
-20.8221040201845,0.0617097770920597,-20.5915895212851,0.00977256861622726,-20.5806126403851,0.00848151444485448,,,-20.8221040201845,0.062649778075428
-20.8111271392845,0.0726439264116924,-20.5806126403851,0.0109767451969072,-20.5696357594852,0.00943593583495908,,,-20.8111271392845,0.0737546897057096
-20.8001502583846,0.0851448306680874,-20.5696357594852,0.0123028663067338,-20.5586588785852,0.0104732731058049,,,-20.8001502583846,0.0864496351141103
-20.7891733774846,0.0995756911160551,-20.5586588785852,0.0137602697207704,-20.5476819976852,0.0115988977179103,,,-20.7891733774846,0.101106700000017
-20.7781964965846,0.116123255724824,-20.5476819976852,0.0153611144302306,-20.5367051167852,0.0128174926269299,,,-20.7781964965846,0.117914644142514
-20.7672196156846,0.134981020109166,-20.5367051167852,0.0171163146067719,-20.5257282358853,0.0141347810320395,,,-20.7672196156846,0.137069096797721
-20.7562427347847,0.156526062091991,-20.5257282358853,0.0190395924430841,-20.5147513549853,0.0155548666123928,,,-20.7562427347847,0.158955882654814
-20.7452658538847,0.18094824979533,-20.5147513549853,0.0211412520323768,-20.5037744740853,0.0170810932591462,,,-20.7452658538847,0.183766014567099
-20.7342889729847,0.208607830301878,-20.5037744740853,0.0234319236607459,-20.4927975931854,0.0187190298044713,,,-20.7342889729847,0.211867082987215
-20.7233120920848,0.239839945621026,-20.4927975931854,0.0259265036494984,-20.4818207122854,0.0204732308335088,,,-20.7233120920848,0.243600256126673
-20.7123352111848,0.275059815783458,-20.4818207122854,0.0286387721865251,-20.4708438313854,0.0223489933917135,,,-20.7123352111848,0.279390054876071
-20.7013583302848,0.314541948918429,-20.4708438313854,0.0315855629509146,-20.4598669504854,0.0243500392323239,,,-20.7013583302848,0.31951319608188
-20.6903814493849,0.358728962869371,-20.4598669504854,0.0347800462312627,-20.4488900695855,0.0264800696310595,,,-20.6903814493849,0.364422024657158
-20.6794045684849,0.408095000432285,-20.4488900695855,0.0382353288655199,-20.4379131886855,0.0287438685803659,,,-20.6794045684849,0.414601455118652
-20.6684276875849,0.463029233941591,-20.4379131886855,0.0419694512185336,-20.4269363077855,0.0311476554619802,,,-20.6684276875849,0.47044773838864
-20.6574508066849,0.52392498703358,-20.4269363077855,0.046003949237924,-20.4159594268856,0.0336917995713944,,,-20.6574508066849,0.532360205801413
-20.646473925785,0.591290421178513,-20.4159594268856,0.0503474535671029,-20.4049825459856,0.0363832351566083,,,-20.646473925785,0.600859214308741
-20.635497044885,0.665599355995829,-20.4049825459856,0.0550236800975239,-20.3940056650856,0.0392242801859577,,,-20.635497044885,0.676428954095548
-20.624520163985,0.747393279599129,-20.3940056650856,0.0600492537015013,-20.3830287841856,0.0422180741668533,,,-20.624520163985,0.759624674567278
-20.6135432830851,0.837059466422582,-20.3830287841856,0.0654401632277276,-20.3720519032857,0.0453699640969494,,,-20.6135432830851,0.850840310761372
