File_name,Total_energy,Adsorption_energy,Rigid_adsorption_energy,Deformation_energy,dEad/dNi
op_000 (3 1 1).std.csv,-0.81368,-7.4135,-0.81368,-6.5998,-7.4135
op_001 (3 1 1).std.csv,-0.89136,-7.4912,-0.89136,-6.5998,-7.4912
op_002 (3 1 1).std.csv,-0.92732,-7.5271,-0.92823,-6.5989,-7.5271
op_003 (3 1 1).std.csv,-0.95185,-7.5517,-0.95185,-6.5998,-7.5517
op_004 (3 1 1).std.csv,-0.9783,-7.5781,-0.97831,-6.5998,-7.5781
op_005 (3 1 1).std.csv,-0.96894,-7.5688,-0.96895,-6.5998,-7.5688
op_006 (3 1 1).std.csv,-0.91815,-7.518,-0.91815,-6.5998,-7.518
op_007 (3 1 1).std.csv,-0.89909,-7.4989,-0.89909,-6.5998,-7.4989
op_008 (3 1 1).std.csv,-0.8582,-7.458,-0.8582,-6.5998,-7.458
op_009 (3 1 1).std.csv,-1.037,-7.6368,-1.037,-6.5998,-7.6368
op_010 (3 1 1).std.csv,-0.8003,-7.4001,-0.8003,-6.5998,-7.4001
op_011 (3 1 1).std.csv,-0.87494,-7.4748,-0.87494,-6.5998,-7.4748
op_012 (3 1 1).std.csv,-0.97482,-7.5746,-0.97482,-6.5998,-7.5746
op_014 (3 1 1).std.csv,-0.85901,-7.4588,-0.85901,-6.5998,-7.4588
op_015 (3 1 1).std.csv,-0.83742,-7.4372,-0.83742,-6.5998,-7.4372
op_016 (3 1 1).std.csv,-0.90715,-7.507,-0.90715,-6.5998,-7.507
op_017 (3 1 1).std.csv,-0.95219,-7.552,-0.9522,-6.5998,-7.552
op_018 (3 1 1).std.csv,-0.94571,-7.5455,-0.94572,-6.5998,-7.5455
op_019 (3 1 1).std.csv,-0.85656,-7.4564,-0.85656,-6.5998,-7.4564
op_021 (3 1 1).std.csv,-0.97159,-7.5714,-0.9716,-6.5998,-7.5714
op_024 (3 1 1).std.csv,-0.93853,-7.5383,-0.93853,-6.5998,-7.5383
op_027 (3 1 1).std.csv,-0.93474,-7.5346,-0.93475,-6.5998,-7.5346
op_029 (3 1 1).std.csv,-0.91645,-7.5163,-0.91646,-6.5998,-7.5163
op_030 (3 1 1).std.csv,-0.92105,-7.5209,-0.92105,-6.5998,-7.5209
op_032 (3 1 1).std.csv,-0.85106,-7.4509,-0.85106,-6.5998,-7.4509
op_033 (3 1 1).std.csv,-0.93372,-7.5335,-0.93372,-6.5998,-7.5335
op_037 (3 1 1).std.csv,-0.90071,-7.5005,-0.90072,-6.5998,-7.5005
op_038 (3 1 1).std.csv,-0.91765,-7.5175,-0.91766,-6.5998,-7.5175
op_039 (3 1 1).std.csv,-0.81984,-7.4197,-0.81985,-6.5998,-7.4197
op_040 (3 1 1).std.csv,-0.78155,-7.3814,-0.78156,-6.5998,-7.3814
op_041 (3 1 1).std.csv,-0.9512,-7.551,-0.9512,-6.5998,-7.551
op_042 (3 1 1).std.csv,-0.94376,-7.5436,-0.94377,-6.5998,-7.5436
op_043 (3 1 1).std.csv,-0.89522,-7.495,-0.89522,-6.5998,-7.495
op_044 (3 1 1).std.csv,-0.94104,-7.5409,-0.94105,-6.5998,-7.5409
op_045 (3 1 1).std.csv,-0.84893,-7.4487,-0.84893,-6.5998,-7.4487
op_046 (3 1 1).std.csv,-0.8774,-7.4772,-0.8774,-6.5998,-7.4772
op_047 (3 1 1).std.csv,-0.95225,-7.5521,-0.95234,-6.5997,-7.5521
op_048 (3 1 1).std.csv,-0.89301,-7.4928,-0.89302,-6.5998,-7.4928
op_049 (3 1 1).std.csv,-0.89161,-7.4914,-0.89161,-6.5998,-7.4914
op_050 (3 1 1).std.csv,-0.95711,-7.5569,-0.95711,-6.5998,-7.5569
op_051 (3 1 1).std.csv,-0.81935,-7.4192,-0.81935,-6.5998,-7.4192
op_052 (3 1 1).std.csv,-0.94728,-7.5471,-0.94728,-6.5998,-7.5471
op_053 (3 1 1).std.csv,-0.89662,-7.4964,-0.89662,-6.5998,-7.4964
op_054 (3 1 1).std.csv,-0.963,-7.5628,-0.963,-6.5998,-7.5628
op_055 (3 1 1).std.csv,-0.93561,-7.5354,-0.93561,-6.5998,-7.5354
op_056 (3 1 1).std.csv,-0.91791,-7.5177,-0.91791,-6.5998,-7.5177
op_057 (3 1 1).std.csv,-0.91554,-7.5154,-0.91555,-6.5998,-7.5154
op_059 (3 1 1).std.csv,-0.8911,-7.4909,-0.8911,-6.5998,-7.4909
op_060 (3 1 1).std.csv,-0.83374,-7.4336,-0.83374,-6.5998,-7.4336
op_061 (3 1 1).std.csv,-0.92957,-7.5294,-0.92957,-6.5998,-7.5294
op_062 (3 1 1).std.csv,-0.90172,-7.5015,-0.90172,-6.5998,-7.5015
op_063 (3 1 1).std.csv,-0.81367,-7.4135,-0.81367,-6.5998,-7.4135
op_064 (3 1 1).std.csv,-0.84086,-7.4407,-0.84086,-6.5998,-7.4407
op_065 (3 1 1).std.csv,-0.93926,-7.5391,-0.93926,-6.5998,-7.5391
op_066 (3 1 1).std.csv,-0.92389,-7.5237,-0.92389,-6.5998,-7.5237
op_067 (3 1 1).std.csv,-0.90804,-7.5079,-0.90805,-6.5998,-7.5079
op_068 (3 1 1).std.csv,-0.91656,-7.5164,-0.91656,-6.5998,-7.5164
op_069 (3 1 1).std.csv,-0.91558,-7.5154,-0.91558,-6.5998,-7.5154
op_071 (3 1 1).std.csv,-0.91678,-7.5166,-0.91678,-6.5998,-7.5166
op_072 (3 1 1).std.csv,-0.95215,-7.552,-0.95299,-6.599,-7.552
op_073 (3 1 1).std.csv,-0.94948,-7.5493,-0.94948,-6.5998,-7.5493
op_074 (3 1 1).std.csv,-0.96974,-7.5696,-0.96974,-6.5998,-7.5696
op_075 (3 1 1).std.csv,-0.93614,-7.536,-0.93614,-6.5998,-7.536
op_076 (3 1 1).std.csv,-0.81114,-7.411,-0.81114,-6.5998,-7.411
op_078 (3 1 1).std.csv,-0.82559,-7.4254,-0.82559,-6.5998,-7.4254
op_080 (3 1 1).std.csv,-0.92192,-7.5217,-0.92192,-6.5998,-7.5217
op_081 (3 1 1).std.csv,-0.87851,-7.4783,-0.87851,-6.5998,-7.4783
op_082 (3 1 1).std.csv,-0.89944,-7.4993,-0.89945,-6.5998,-7.4993
op_084 (3 1 1).std.csv,-0.93425,-7.5341,-0.93425,-6.5998,-7.5341
op_085 (3 1 1).std.csv,-0.9148,-7.5146,-0.9148,-6.5998,-7.5146
op_086 (3 1 1).std.csv,-0.7633,-7.3631,-0.76331,-6.5998,-7.3631
op_087 (3 1 1).std.csv,-0.8929,-7.4927,-0.8929,-6.5998,-7.4927
op_088 (3 1 1).std.csv,-0.93365,-7.5335,-0.93365,-6.5998,-7.5335
op_090 (3 1 1).std.csv,-0.97094,-7.5708,-0.97094,-6.5998,-7.5708
op_091 (3 1 1).std.csv,-0.94004,-7.5399,-0.94004,-6.5998,-7.5399
op_092 (3 1 1).std.csv,-0.90265,-7.5025,-0.90266,-6.5998,-7.5025
op_093 (3 1 1).std.csv,-0.89273,-7.4925,-0.89274,-6.5998,-7.4925
op_094 (3 1 1).std.csv,-0.95825,-7.5581,-0.95825,-6.5998,-7.5581
op_095 (3 1 1).std.csv,-0.9295,-7.5293,-0.9295,-6.5998,-7.5293
op_096 (3 1 1).std.csv,-0.94137,-7.5412,-0.94137,-6.5998,-7.5412
op_097 (3 1 1).std.csv,-0.88177,-7.4816,-0.88178,-6.5998,-7.4816
op_098 (3 1 1).std.csv,-0.93223,-7.532,-0.93223,-6.5998,-7.532
op_099 (3 1 1).std.csv,-0.93715,-7.537,-0.93715,-6.5998,-7.537
op_100 (3 1 1).std.csv,-0.94615,-7.546,-0.94615,-6.5998,-7.546
op_101 (3 1 1).std.csv,-0.98593,-7.5857,-0.98593,-6.5998,-7.5857
op_102 (3 1 1).std.csv,-0.85208,-7.4519,-0.85208,-6.5998,-7.4519
op_103 (3 1 1).std.csv,-0.93436,-7.5342,-0.93436,-6.5998,-7.5342
op_104 (3 1 1).std.csv,-0.95064,-7.5505,-0.95064,-6.5998,-7.5505
op_105 (3 1 1).std.csv,-0.96387,-7.5637,-0.96387,-6.5998,-7.5637
op_106 (3 1 1).std.csv,-0.90354,-7.5034,-0.90355,-6.5998,-7.5034
