1	7	0	0	100	26	0	0	0	0	1	5.28	23	1	3.5	50	17
1	7	0	0	100	26	0	0	0	0	1	5.28	23	1	3.5	50	31
2	8	0	0	66.66	27	2	33.3	25	2	8	 inf	72	1	4	25	31
2	8	0	0	66.66	27	3	33.3	25	2	8	 inf	72	1	4	25	31
2	8	0	0	60.4	27	2	39.6	27	3	3	5	72	1	4	40	31
2	8	0	0	60.4	27	2	39.6	27	3	3	5	72	1	4	40	5
2	0	0	0	50	26	0	50	78	0	1	28	26	3	3	37	31
1	7	16	0	100	30	2	0	0	0	1	6.5	56	1	3.8	25	31
1	7	16	0	100	30	2	0	0	0	1	6.5	56	1	3.8	25	17
2	7	34	0	100	27	2	0	0	0	1	15	72	1	3.5	25	31
2	8	0	0	62	58	4	38	58	3	1	3.8	28	9	4.5	37	31
2	8	0	0	100	58	4	23.9	58	3	8	8	72	1	4	25	31
2	8	16	0	100	58	4	23.9	58	3	8	8	105	1	4	25	31
2	7	0	0	100	26	3	0	0	0	4	 inf	72	1	3.8	37	31
2	7	0	0	100	26	3	0	0	0	4	 inf	72	1	3.8	37	23
1	7	0	0	100	26	3	0	0	0	4	 inf	72	1	3.8	37	31
1	7	0	0	100	26	3	0	0	0	4	 inf	72	1	3.8	37	17
1	7	0	0	100	26	3	0	0	0	4	 inf	72	1	3.8	37	23
2	7	16	0	66.6	29	1	33.3	42	6	9	28	97	19	7	25	4
1	7	16	0	66.6	29	1	33.3	42	6	9	28	97	1	4	37	31
1	7	16	0	66.6	29	1	33.3	42	6	9	28	97	1	4	37	17
1	8	0	0	94.94	26	3	5.06	78	0	8	140	83	1	4.5	25	31
1	8	0	0	94.94	26	3	5.06	78	0	8	140	83	1	4.5	25	17
1	0	0	0	78.43	26	3	21.57	78	0	8	140	83	1	4.5	25	31
1	0	0	0	78.43	26	3	21.57	78	0	8	140	83	1	4.5	25	17
1	8	0	0	66.67	26	3	33.3	26	2	1	12.5	83	1	4.5	25	31
1	8	0	0	66.67	26	3	33.3	26	2	1	12.5	83	1	4.5	25	17
1	7	0	0	100	78	0	0	0	0	1	 inf	23	1	4.5	25	31
1	7	0	0	100	78	0	0	0	0	1	 inf	23	1	4.5	25	17
